GENESIS-Tabelle: 12411-0001
Bevölkerung: Deutschland, Stichtag;
Fortschreibung des Bevölkerungsstandes;
Deutschland;
;Bevölkerungsstand
;Anzahl
31.12.2010;81751602
31.12.2011;80327900
31.12.2012;80523746
31.12.2013;80767463
31.12.2014;81197537
31.12.2015;82175684
31.12.2016;82521653
31.12.2017;82792351
31.12.2018;83019213
31.12.2019;83166711
31.12.2020;83155031
__________
"Bis 1989: Früheres Bundesgebiet

Ab 2011: Ergebnisse auf Grundlage des Zensus 2011."
© Statistisches Bundesamt (Destatis), 2021
Stand: 23.11.2021 / 11:23:44
